driv_profom,L1_detctScor_list,L2_cmprehScor_list,L3_prdctScor_list,overallScore_list
5.60909652586124,4.597364895996829,4.989289857667561,8.553345210579371,6.882135062256866
8.622175293084194,9.785048370905988,4.491473519739142,7.652956124176979,9.510600975619171
6.696987932521634,9.088649279572435,4.210441383885962,7.6693723722956655,9.06000259385499
7.6731169761267335,9.940171203277746,4.28087365415033,8.032514805627915,9.77747478687559
5.3831074634848575,9.019948434722362,3.94510372762789,4.457504211158027,7.305789577579237
3.652274915940127,6.690728672684351,2.594714094705361,5.882359287087031,6.4641285570910725
7.963670345392646,8.557700273152927,4.578543693826756,9.998500399705193,10.0
5.003478805889964,8.251311271575265,5.833939430854448,7.489030008460159,8.656800121121144
8.714848647160817,10.0,2.9792469521015774,7.57553425656195,9.413581700315339
7.231039539703419,5.523624236788615,6.482017049747659,10.0,8.388064350251865
7.1885763332011745,8.885390129813114,4.928103092057903,7.760898979746256,9.072997666499445
2.442978331780841,9.961843551494423,2.1882439392904813,3.7907686199523423,7.313237301934348
3.5525926001883192,5.1536695273523705,3.441623287809551,3.8461876936243486,4.567879183127219
3.739962284265338,9.788974568802068,3.942916549046849,5.060365994469939,8.089336820399708
5.41779045360691,9.654403574547077,5.341978599358434,5.362943070951397,8.339033292835083
7.033688297473883,9.853570497292264,5.642984427722926,4.450618853902419,8.020670780173914
5.333612118822309,8.058970504706128,4.357144782000035,4.363833526339319,6.72235209049395
6.5704622273706095,9.990529805644185,3.569564380681721,7.391253626259971,9.38465075345415
5.628468571064447,8.542427142828554,6.602139016135005,3.10120849899788,6.635096108855681
3.8601556923490437,5.826196927731025,3.559364264037874,3.533668621809929,4.82885530434494
6.965094978431268,8.200763959617634,3.532292350931831,4.04993799987497,6.542338658000941
4.9555719357964065,9.463892544566779,5.512859280531467,4.754457091921985,7.925967844021235
4.976162935110589,9.939875078858815,2.7784139002893578,5.888570257181786,8.469948246599163
4.548303550156039,8.723644308900104,3.6193266496842136,2.7165003752061843,6.174496108114702
4.994750495704235,6.148848846458436,7.213851172383977,4.323722292913501,5.891713130039715
2.267301752526794,8.848256564372637,1.7302421262649887,2.8280682873326235,6.074521859320294
4.115953195156602,1.0,3.6644474588822065,1.810259654618078,1.0
3.3661074033008482,7.402335384931951,3.053310915426425,2.69695536529772,5.288982111692478
4.463514085649437,7.07439891735085,5.942695721421391,4.014688083130602,6.1364655562858434
6.516167511398607,9.742256471924005,4.932977648788338,3.507361913346652,7.3715864377521365
4.705125363830951,9.100180912060573,2.644654528298168,4.859014665625762,7.403370523008148
4.683071418398585,9.376865135925296,4.164427273912205,4.764087170213548,7.710773086127848
5.142545823304752,9.32803960820884,3.8593292581304626,1.0,5.67499121684066
3.1514328552265622,4.5182313828008835,2.603675788813689,3.0582032932123058,3.66475767290613
6.279709306135868,9.4875007174363,5.113186591949894,3.438034547720229,7.202451711126946
4.31660988207418,9.491901585903376,4.265810235636469,4.208035860135206,7.502686047784601
3.7381175134068036,9.681944307425113,2.9019961159419325,5.881874225020212,8.324606564765922
5.25429186901655,6.836592745200147,3.8654526867425547,2.491878641641249,4.937730743289768
4.8613102394684855,3.710134953771347,9.834031674088534,4.566327818487234,4.857489360659549
1.0,9.773582998866924,1.2118393990450074,2.332940723255498,6.315171217397834
3.203345328842912,3.06164401366118,2.839626498510029,1.7038510907004858,2.09830056033334
3.104910117871915,2.097522546712355,2.600177662044796,2.8615067264403304,2.0864693597784503
4.676094166146203,6.3423619279396855,5.410415507717781,5.111918868980837,6.198143959791097
10.0,9.7239841496991,4.77445072666912,4.713553671358051,7.971500093503707
5.8142411283532365,9.910170782061558,3.2438548145580373,6.107590476475494,8.62408532569536
5.876563306927175,9.553050504690386,4.6870351099071765,6.532351027874565,8.80753537700728
7.368031107385334,4.634554725661989,4.947037944409562,8.596953652192795,6.922359090192938
4.241330177208475,5.205579859878886,3.106002094926623,4.91887854440947,5.118791667087361
6.897466380029907,8.005628579512962,3.5082154089467603,5.071606040366988,6.954670839810176
5.113867641735882,9.871345376551574,6.2532096016122996,5.8162701656662055,8.821251876619353
4.7114580124836625,7.846652850140989,3.0035163073682645,5.047074864809343,6.782394131232848
6.259933250899102,7.705437505189835,3.1160383502580116,5.459376683150522,6.925888285587808
5.782406329900432,5.8544817153357105,10.0,6.373267996847696,7.129507260150075
2.7792316959051435,8.17510574075028,1.0,1.9696106249867351,5.124926473328885
3.489633901965242,8.615162537360657,3.6180553097023207,2.5341395354210485,6.012883078122472
3.985050596928046,5.712917129570201,2.3449805375165127,3.428940111538556,4.55448903538969
